600663,2012-04-27,2017-08-23
600688,2012-04-27,2017-08-23
601888,2012-04-27,2017-08-23
002007,2012-04-27,2017-08-23
600010,2012-04-27,2017-08-23
300024,2012-04-27,2017-08-23
002568,2012-04-27,2017-08-23
601818,2012-04-27,2017-08-23
600895,2012-04-27,2017-08-23
601766,2012-04-27,2017-08-23
600256,2012-04-27,2017-08-23
000009,2012-04-27,2017-08-23
000800,2012-04-27,2017-08-23
300144,2012-04-27,2017-08-23
600028,2012-04-27,2017-08-23
601318,2012-04-27,2017-08-23
000876,2012-04-27,2017-08-23
601169,2012-04-27,2017-08-23
000630,2012-04-27,2017-08-23
000157,2012-04-27,2017-08-23
600015,2012-04-27,2017-08-23
601998,2012-04-27,2017-08-23
600221,2012-04-27,2017-08-23
000156,2012-04-27,2017-08-23
300182,2012-04-27,2017-08-23
600115,2012-04-27,2017-08-23
601607,2012-04-27,2017-08-23
601608,2012-04-27,2017-08-23
600648,2012-04-27,2017-08-23
600060,2012-04-27,2017-08-23
600023,2012-04-27,2017-08-23
601727,2012-04-27,2017-08-23
601928,2012-04-27,2017-08-23
000425,2012-04-27,2017-08-23
600737,2012-04-27,2017-08-23
601985,2012-04-27,2017-08-23
000725,2012-04-27,2017-08-23
000625,2012-04-27,2017-08-23
000963,2012-04-27,2017-08-23
000008,2012-04-27,2017-08-23
002142,2012-04-27,2017-08-23
601988,2012-04-27,2017-08-23
600583,2012-04-27,2017-08-23
600018,2012-04-27,2017-08-23
000423,2012-04-27,2017-08-23
000538,2012-04-27,2017-08-23
601933,2012-04-27,2017-08-23
000651,2012-04-27,2017-08-23
300070,2012-04-27,2017-08-23
002304,2012-04-27,2017-08-23
600066,2012-04-27,2017-08-23
601877,2012-04-27,2017-08-23
002470,2012-04-27,2017-08-23
600352,2012-04-27,2017-08-23
601258,2012-04-27,2017-08-23
603000,2012-04-27,2017-08-23
600873,2012-04-27,2017-08-23
600085,2012-04-27,2017-08-23
000778,2012-04-27,2017-08-23
600875,2012-04-27,2017-08-23
600157,2012-04-27,2017-08-23
000792,2012-04-27,2017-08-23
601009,2012-04-27,2017-08-23
601669,2012-04-27,2017-08-23
600518,2012-04-27,2017-08-23
000718,2012-04-27,2017-08-23
600406,2012-04-27,2017-08-23
600340,2012-04-27,2017-08-23
600535,2012-04-27,2017-08-23
601989,2012-04-27,2017-08-23
601872,2012-04-27,2017-08-23
601088,2012-04-27,2017-08-23
600959,2012-04-27,2017-08-23
600871,2012-04-27,2017-08-23
600795,2012-04-27,2017-08-23
600666,2012-04-27,2017-08-23
600654,2012-04-27,2017-08-23
600485,2012-04-27,2017-08-23
600100,2012-04-27,2017-08-23
600074,2012-04-27,2017-08-23
300104,2012-04-27,2017-08-23
002739,2012-04-27,2017-08-23
002450,2012-04-27,2017-08-23
002426,2012-04-27,2017-08-23
002299,2012-04-27,2017-08-23
002252,2012-04-27,2017-08-23
002183,2012-04-27,2017-08-23
002174,2012-04-27,2017-08-23
002129,2012-04-27,2017-08-23
000555,2012-04-27,2017-08-23
000540,2012-04-27,2017-08-23
000503,2012-04-27,2017-08-23
000061,2012-04-27,2017-08-23
601166,2012-04-27,2017-08-23
000895,2012-04-27,2017-08-23
600376,2012-04-27,2017-08-23
601006,2012-04-27,2017-08-23
000338,2012-04-27,2017-08-23
601018,2012-04-27,2017-08-23
600519,2012-04-27,2017-08-23
600373,2012-04-27,2017-08-23
002195,2012-04-27,2017-08-23
600886,2012-04-27,2017-08-23
600867,2012-04-27,2017-08-23
600050,2012-04-27,2017-08-23
601668,2012-04-27,2017-08-23
000839,2012-04-27,2017-08-23
600900,2012-04-27,2017-08-23
600309,2012-04-27,2017-08-23
600674,2012-04-27,2017-08-23
300072,2012-04-27,2017-08-23
600252,2012-04-27,2017-08-23
600332,2012-04-27,2017-08-23
601939,2012-04-27,2017-08-23
601216,2012-04-27,2017-08-23
002146,2012-04-27,2017-08-23
600498,2012-04-27,2017-08-23
600660,2012-04-27,2017-08-23
002152,2012-04-27,2017-08-23
600019,2012-04-27,2017-08-23
000559,2012-04-27,2017-08-23
600036,2012-04-27,2017-08-23
002465,2012-04-27,2017-08-23
600703,2012-04-27,2017-08-23
600276,2012-04-27,2017-08-23
600754,2012-04-27,2017-08-23
601288,2012-04-27,2017-08-23
601633,2012-04-27,2017-08-23
000402,2012-04-27,2017-08-23
600887,2012-04-27,2017-08-23
000413,2012-04-27,2017-08-23
601398,2012-04-27,2017-08-23
600820,2012-04-27,2017-08-23
600196,2012-04-27,2017-08-23
600038,2012-04-27,2017-08-23
002230,2012-04-27,2017-08-23
